ts_event,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,best_level_ofi,multi_level_ofi,integrated_ofi
2024-10-21 11:57:04.890725062+00:00,2024-10-21 11:57:04.890725062+00:00,10,2,38,C,A,0,233.72,100,130,166016,11513464,AAPL,100,1512,112.34978474294527
2024-10-21 11:57:06.458943234+00:00,2024-10-21 11:57:06.458943234+00:00,10,2,38,A,B,0,233.67,1,130,167214,11514372,AAPL,1,838,81.30051258511153
2024-10-21 11:57:06.459285665+00:00,2024-10-21 11:57:06.459285665+00:00,10,2,38,T,N,0,233.68,1,130,167588,11514373,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:07.554141976+00:00,2024-10-21 11:57:07.554141976+00:00,10,2,38,T,N,0,233.68,1,130,168004,11515087,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:08.621131954+00:00,2024-10-21 11:57:08.621131954+00:00,10,2,38,T,N,0,233.68,1,130,168399,11515684,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:10.160087903+00:00,2024-10-21 11:57:10.160087903+00:00,10,2,38,T,N,0,233.68,1,130,167691,11516600,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:14.110885099+00:00,2024-10-21 11:57:14.110885099+00:00,10,2,38,T,N,0,233.68,1,130,167967,11518245,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:14.837669309+00:00,2024-10-21 11:57:14.837669309+00:00,10,2,38,C,B,1,233.58,27,130,166142,11518715,AAPL,0,-837,-168.7240820278754
2024-10-21 11:57:14.894521785+00:00,2024-10-21 11:57:14.894521785+00:00,10,2,38,A,B,1,233.59,29,130,166532,11518781,AAPL,0,839,81.42072229452917
2024-10-21 11:57:15.098765695+00:00,2024-10-21 11:57:15.098765695+00:00,10,2,38,C,A,2,233.78,200,130,166253,11518952,AAPL,0,-200,-65.15664287531204
2024-10-21 11:57:15.098777532+00:00,2024-10-21 11:57:15.098777532+00:00,10,2,38,A,A,3,233.8,200,130,166359,11518953,AAPL,0,200,-2.186045699934712
2024-10-21 11:57:15.158138746+00:00,2024-10-21 11:57:15.158138746+00:00,10,2,38,C,B,3,233.49,200,130,166086,11519035,AAPL,0,-200,-85.25377083746139
2024-10-21 11:57:15.158151037+00:00,2024-10-21 11:57:15.158151037+00:00,10,2,38,A,B,3,233.5,400,130,166471,11519036,AAPL,0,400,39.34781686882863
2024-10-21 11:57:15.238560230+00:00,2024-10-21 11:57:15.238560230+00:00,10,2,38,A,A,3,233.79,200,130,166638,11519174,AAPL,0,1053,65.00330016187405
2024-10-21 11:57:15.426680348+00:00,2024-10-21 11:57:15.426680348+00:00,10,2,38,A,A,2,233.78,200,130,166199,11519431,AAPL,0,1253,86.44003476848805
2024-10-21 11:57:15.993250474+00:00,2024-10-21 11:57:15.993250474+00:00,10,2,38,T,N,0,233.68,1,130,167454,11519726,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:17.249143876+00:00,2024-10-21 11:57:17.249143876+00:00,10,2,38,C,A,2,233.78,200,130,165883,11520279,AAPL,0,-200,-65.15664287531204
2024-10-21 11:57:17.249155657+00:00,2024-10-21 11:57:17.249155657+00:00,10,2,38,A,A,3,233.8,200,130,166126,11520280,AAPL,0,200,-2.186045699934712
2024-10-21 11:57:17.304858834+00:00,2024-10-21 11:57:17.304858834+00:00,10,2,38,A,A,2,233.78,200,130,166392,11520350,AAPL,0,0,-63.81703623084739
2024-10-21 11:57:17.495155713+00:00,2024-10-21 11:57:17.495155713+00:00,10,2,38,T,N,0,233.68,1,130,166937,11520659,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:20.112111433+00:00,2024-10-21 11:57:20.112111433+00:00,10,2,38,A,A,0,233.72,20,130,166988,11522305,AAPL,20,1432,111.05001717236702
2024-10-21 11:57:22.737207625+00:00,2024-10-21 11:57:22.737207625+00:00,10,2,38,T,N,0,233.68,1,130,167399,11523551,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:23.434433631+00:00,2024-10-21 11:57:23.434433631+00:00,10,2,38,T,N,0,233.68,3,130,167884,11524035,AAPL,0,0,-43.71990826869805
2024-10-21 11:57:23.522180556+00:00,2024-10-21 11:57:23.522180556+00:00,10,2,38,C,B,1,233.59,29,130,166174,11524292,AAPL,0,-839,-168.86053883192528
2024-10-21 11:57:23.522320812+00:00,2024-10-21 11:57:23.522320812+00:00,10,2,38,A,B,3,233.47,27,130,166459,11524293,AAPL,0,427,0.9096082147318061
2024-10-21 11:57:23.575986228+00:00,2024-10-21 11:57:23.575986228+00:00,10,2,38,A,A,2,233.77,200,130,166800,11524341,AAPL,0,0,-63.81703623084739
2024-10-21 11:57:23.893151634+00:00,2024-10-21 11:57:23.893151634+00:00,10,2,38,T,A,0,233.67,1,130,167691,11524531,AAPL,0,0,-43.71990826869805
